name,review_count,std_dev
Verizon Authorized Retailer - Wireless Zone,103,1.987539711861128
Apple Repair Shop,112,1.944450573012343
Better Business Bureau,101,1.936466108688456
Zak Dental - Santa Barbara,123,1.934589434175067
CarZone,177,1.9291175721266518
Verizon Authorized Retailer - Cellular Sales,338,1.9192726580760968
Napleton Hyundai of Carmel,112,1.9183586063611109
Bright Now! Dental & Orthodontics,103,1.9144565096637398
AAMCO Transmissions & Total Car Care,371,1.9141096722499324
Chapman Ford of Horsham,108,1.9110317185083647
Reno Buick GMC Cadillac,188,1.9095486775697004
Champion Chevrolet,145,1.9094190807818068
Nissan of Clearwater,176,1.907461425798459
iFixandRepair,146,1.9044735143941522
Vanderbilt University Medical Center,102,1.8966962868377162
Johnson Family Dental,201,1.8948083036187817
Verizon Authorized Retailer - GoWireless,220,1.893484710884364
The Green Truck Moving & Storage Company,126,1.8907292621782588
LA Nails,175,1.8898223650461363
Tire Choice Auto Service Centers,860,1.889297202142262
