join_year,total_users,silent_users,silent_ratio
2004,90,0,0E-16
2005,937,0,0E-16
2006,5423,0,0E-16
2007,15340,0,0E-16
2008,31097,0,0E-16
2009,64911,0,0E-16
2010,109054,1,0.0000091697691052
2011,176435,1,0.0000056678096750
2012,195955,3,0.0000153096374168
2013,209762,1,0.0000047673077106
2014,233465,1,0.0000042832972822
2015,247850,2,0.0000080693968126
2016,217620,3,0.0000137854976565
2017,151024,5,0.0000331073206908
2018,133568,4,0.0000299472927647
2019,104655,6,0.0000573312311882
2020,47444,7,0.0001475423657364
2021,40485,13,0.0003211065826849
2022,2782,7,0.0025161754133717
