join_year,new_users,total_reviews,elite_users,tips
2004,90,14577,90,0
2005,937,226005,937,0
2006,5423,920176,5423,0
2007,15340,2011487,15340,0
2008,31097,3162898,31097,0
2009,64911,4401364,64911,0
2010,109054,5444361,109054,0
2011,176435,6344607,176435,0
2012,195955,5405586,195955,0
2013,209762,4820434,209762,0
2014,233465,4354298,233465,0
2015,247850,3630507,247850,0
2016,217620,2500839,217620,0
2017,151024,1457654,151024,0
2018,133568,938027,133568,0
2019,104655,559500,104655,0
2020,47444,197284,47444,0
2021,40485,112349,40485,0
2022,2782,3723,2782,0
