rev_user_id,distinct_categories
_BcWyKQL16ndpBdggh2kNA,827
ET8n-r7glWYqZhuR6GcdNw,716
Um5bfs5DH6eizgjH3xZsvg,713
0Igx-a1wAstiBDerGxXk2A,708
I2XpWCHAom1JRyHXZQrnfg,707
AHRrG3T1gJpHvtpZ-K0G_g,678
Xw7ZjaGfr0WNVt6s_5KZfA,676
-kLVfaJytOJY2-QdQoCcNQ,666
pou3BbKsIozfH50rxmnMew,642
wXdbkFZsfDR7utJvbWElyA,637
B-s-8VUnuBjGTP3d01jsyw,632
6ObFF8-uKnOAlXuSH4TlyQ,630
AaJ9d4OrFmgc4S_U2QiSZg,629
qjfMBIZpQT9DDtw_BWCopQ,622
bYENop4BuQepBjM1-BI3fA,609
OIDpKC2p61qVO_spPqw1qA,602
WwulXySQN8t2hwqH_yWurA,596
vYMvOTL31e0KbTo9Hd0tjg,594
VL12EhEdT4OWqGq0nIqkzw,592
-G7Zkl1wIWBBmD0KRy_sCw,586
vHc-UrI9yfL_pnnc6nJtyQ,577
zYFGMy1_thjMnvQLX6JNBw,575
lMY8NBPyzlPbbu-KBYfD9A,573
fr1Hz2acAb3OaL3l6DyKNg,567
lAW03ccfMEuRZiDqvVgc0w,567
5O3VvfDu_HDvgUviAqmTEA,566
h7p-GuaHFGsiKCF4g6Bjqg,560
kkPgJv6KBFN15caG7NYYlg,560
1HM81n6n4iPIFU5d2Lokhw,560
DwaaafwryFbW7C4E1gU1AA,560
bJ5FtCtZX3ZZacz2_2PJjA,559
k9rIAkr_3QpFRlTgIXJAGw,553
Wjia69bHEb7xeWMlxWNPGA,548
kA7sIBVKgWXVwWbpXsUHQg,547
lYQk0R6sPfo3WeX-l_5BuA,545
cufhYFdyrUAt4SWe-m0grQ,540
FlXBpK_YZxLo27jcMdII1w,535
vffKQc_WQMYFGY4JS5VAOw,532
R9IJ1Byr27n6wXj3QvJ2Lg,530
dgGUKdOh2a01OwLw1qgfDw,530
3QnoTcrxuafMCoTzW_AH7A,529
Sp2GV7D-_JLZMPQmDanzPQ,529
6pbNMgTnSYrtPHDN07IXwA,527
2iS1vg5TYpV_iEiNC8osTg,527
-THLGnsYKu3yQAsy_tt1fw,515
Ase_kJIYuT6yOsqqVPuWUA,515
Zn8tgekH0oCfyk4SUtygoA,514
IKbjLnfBQtEyVzEu8CuOLg,513
5Y5KbsI5buMcNh2hTFaRpA,511
1p8Pu1pvAsuNtuZDtn2OkQ,509
