name,city,business_avg,category_avg,rating_diff
Apache Towing,Tucson,5.0,2.019230769230769,2.980769230769231
ING Direct,Wilmington,4.4,1.4974358974358974,2.902564102564103
A Priority One Rental-A-Car,New Orleans,5.0,2.109154929577465,2.890845070422535
Amerisleep - Tucson,Tucson,4.909090909090909,2.075892857142857,2.833198051948052
Sun River Apartment Homes,Tucson,5.0,2.240802675585284,2.759197324414716
J Luna's Mobile Car Wash,Santa Barbara,5.0,2.2465753424657535,2.7534246575342465
Appliance Konnection,New Orleans,5.0,2.253731343283582,2.746268656716418
Bed Pros Mattress,Brandon,5.0,2.2704918032786887,2.7295081967213113
Alexander Tire & Automotive,Fenton,5.0,2.2962962962962963,2.7037037037037037
Opryland Hotel Free Parking,Nashville,4.857142857142857,2.1739130434782608,2.683229813664596
Enclave at Northwood - Weller Management,Clearwater,5.0,2.325,2.675
Jay's Towing Service,Edmonton,4.833333333333333,2.1818181818181817,2.6515151515151514
New Orleans Electric Car Rentals,New Orleans,4.75,2.109154929577465,2.640845070422535
Nashville Bar Bike,Nashville,5.0,2.3714285714285714,2.6285714285714286
Steve's Windows & Doors,Saint Petersburg,4.2,1.5842696629213484,2.6157303370786518
Diamond Pest Control,Indianapolis,4.888888888888889,2.2755102040816326,2.6133786848072567
Kountry's Professional Move,Tampa,5.0,2.393162393162393,2.606837606837607
Tesla - Saint Louis,Saint Louis,5.0,2.395348837209302,2.604651162790698
Shore Acres Apartments,Indianapolis,4.615384615384615,2.0121951219512195,2.6031894934333955
Daisy's Cleaning Cafe,Nashville,4.333333333333333,1.7327586206896552,2.600574712643678
